Sample	Percent	Start	End	amp_del
P-0036814-T01-IM6	0	0	0	amp
P-0036874-T01-IM6	0	0	0	amp
P-0037096-T01-IM6	0	0	0	amp
P-0037167-T01-IM6	0	0	0	amp
P-0037375-T01-IM6	0	0	0	amp
P-0037460-T01-IM6	0	0	0	amp
P-0037891-T01-IM6	0	0	0	amp
P-0037905-T01-IM6	0	0	0	amp
P-0037909-T01-IM6	0	0	0	amp
P-0038047-T01-IM6	0	0	0	amp
P-0038155-T01-IM6	0	0	0	amp
P-0038306-T01-IM6	0	0	0	amp
P-0038345-T02-IM6	0	0	0	amp
P-0038481-T01-IM6	0	0	0	amp
P-0038483-T01-IM6	0	0	0	amp
P-0038554-T01-IM6	0	0	0	amp
P-0038997-T01-IM6	0	0	0	amp
P-0039012-T01-IM6	0	0	0	amp
P-0039070-T01-IM6	0	0	0	amp
P-0039094-T01-IM6	0	0	0	amp
P-0039165-T01-IM6	0	0	0	amp
P-0039224-T01-IM6	0	0	0	amp
P-0039241-T01-IM6	0	0	0	amp
P-0039242-T01-IM6	0	0	0	amp
P-0039583-T01-IM6	0	0	0	amp
P-0039726-T01-IM6	0	0	0	amp
P-0039767-T01-IM6	0	0	0	amp
P-0039797-T01-IM6	0	0	0	amp
P-0039798-T01-IM6	0	0	0	amp
P-0039811-T01-IM6	0	0	0	amp
P-0039816-T01-IM6	0	0	0	amp
P-0039927-T01-IM6	0	0	0	amp
P-0039935-T01-IM6	0	0	0	amp
P-0040044-T01-IM6	0	0	0	amp
P-0040154-T01-IM6	0	0	0	amp
P-0040177-T01-IM6	0	0	0	amp
P-0040281-T01-IM6	0	0	0	amp
P-0040365-T01-IM6	0	0	0	amp
P-0040410-T01-IM6	0	0	0	amp
P-0040521-T01-IM6	0	0	0	amp
P-0040523-T01-IM6	0	0	0	amp
P-0040960-T01-IM6	0	0	0	amp
P-0041269-T01-IM6	0	0	0	amp
P-0041285-T01-IM6	0	0	0	amp
P-0041289-T01-IM6	0	0	0	amp
P-0041614-T01-IM6	0	0	0	amp
P-0041618-T01-IM6	0	0	0	amp
P-0041733-T01-IM6	0	0	0	amp
P-0041886-T01-IM6	0	0	0	amp
P-0042108-T01-IM6	0	0	0	amp
P-0042152-T01-IM6	0	0	0	amp
P-0042216-T01-IM6	0	0	0	amp
P-0042500-T01-IM6	0	0	0	amp
P-0042632-T01-IM6	0	0	0	amp
P-0043037-T01-IM6	0	0	0	amp
P-0043081-T01-IM6	0	0	0	amp
P-0043240-T01-IM6	0	0	0	amp
P-0043617-T01-IM6	0	0	0	amp
P-0043950-T01-IM6	0	0	0	amp
