Sample	Percent	Start	End
P-0000067-T02-IM5	0	0	0
P-0000073-T01-IM3	0	0	0
P-0000236-T01-IM3	0	0	0
P-0000269-T01-IM3	0	0	0
P-0000633-T01-IM3	0	0	0
P-0001036-T01-IM3	0	0	0
P-0001105-T01-IM3	0	0	0
P-0001285-T01-IM3	0	0	0
P-0001421-T01-IM3	0	0	0
P-0001616-T01-IM3	0	0	0
P-0001752-T01-IM3	0	0	0
P-0001799-T01-IM3	0	0	0
P-0001801-T01-IM3	0	0	0
P-0001848-T01-IM3	0	0	0
P-0001911-T01-IM3	0	0	0
P-0001965-T01-IM3	0	0	0
P-0001985-T01-IM3	0	0	0
P-0002010-T02-IM5	0	0	0
P-0002109-T01-IM3	0	0	0
P-0002110-T02-IM6	0	0	0
P-0002116-T01-IM3	0	0	0
P-0002205-T01-IM3	0	0	0
P-0002302-T01-IM3	0	0	0
P-0002310-T01-IM3	0	0	0
P-0002385-T01-IM3	0	0	0
P-0002497-T01-IM3	0	0	0
P-0002536-T01-IM3	0	0	0
P-0002587-T01-IM3	0	0	0
P-0002692-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002803-T01-IM3	0	0	0
P-0003102-T01-IM5	0	0	0
P-0003191-T01-IM5	0	0	0
P-0003194-T01-IM5	0	0	0
P-0003744-T01-IM5	0	0	0
P-0003810-T01-IM5	0	0	0
P-0003813-T01-IM5	0	0	0
P-0003818-T01-IM5	0	0	0
P-0003873-T01-IM5	0	0	0
P-0003880-T01-IM5	0	0	0
P-0003889-T01-IM5	0	0	0
P-0004155-T01-IM5	0	0	0
P-0004175-T01-IM5	0	0	0
P-0004258-T01-IM5	0	0	0
P-0004308-T02-IM6	0	0	0
P-0004360-T01-IM5	0	0	0
P-0004568-T01-IM5	0	0	0
P-0004794-T01-IM5	0	0	0
P-0004821-T01-IM5	0	0	0
P-0004822-T01-IM5	0	0	0
P-0004829-T01-IM5	0	0	0
P-0004867-T01-IM5	0	0	0
P-0004945-T01-IM5	0	0	0
P-0005340-T01-IM5	0	0	0
P-0005341-T01-IM5	0	0	0
P-0005516-T01-IM5	0	0	0
P-0005531-T01-IM5	0	0	0
P-0005592-T01-IM5	0	0	0
P-0005775-T02-IM5	0	0	0
P-0005896-T01-IM5	0	0	0
P-0005946-T01-IM5	0	0	0
P-0006492-T01-IM5	0	0	0
P-0006656-T01-IM5	0	0	0
P-0006984-T01-IM5	0	0	0
P-0007003-T01-IM5	0	0	0
P-0007064-T01-IM5	0	0	0
P-0007855-T01-IM5	0	0	0
P-0008037-T01-IM5	0	0	0
P-0008052-T01-IM5	0	0	0
P-0008474-T01-IM5	0	0	0
P-0009372-T01-IM5	0	0	0
P-0009479-T01-IM5	0	0	0
P-0009524-T01-IM5	0	0	0
P-0009558-T01-IM5	0	0	0
P-0009750-T01-IM5	0	0	0
P-0009840-T01-IM5	0	0	0
P-0010011-T01-IM5	0	0	0
P-0010225-T01-IM5	0	0	0
P-0010250-T02-IM6	0	0	0
P-0010510-T01-IM5	0	0	0
P-0010536-T01-IM5	0	0	0
P-0010633-T01-IM5	0	0	0
P-0011426-T01-IM5	0	0	0
P-0012173-T01-IM5	0	0	0
P-0012367-T01-IM5	0	0	0
P-0012502-T01-IM5	0	0	0
P-0013630-T01-IM5	0	0	0
P-0013641-T01-IM5	0	0	0
P-0013695-T01-IM5	0	0	0
P-0013699-T01-IM5	0	0	0
P-0013986-T01-IM5	0	0	0
P-0014032-T01-IM5	0	0	0
P-0014146-T01-IM5	0	0	0
P-0014153-T01-IM5	0	0	0
P-0014175-T01-IM5	0	0	0
P-0014409-T02-IM6	0	0	0
P-0014561-T01-IM6	0	0	0
P-0014631-T01-IM6	0	0	0
P-0014697-T01-IM6	0	0	0
P-0014723-T01-IM6	0	0	0
P-0015076-T01-IM6	0	0	0
P-0015271-T01-IM6	0	0	0
P-0015457-T01-IM6	0	0	0
P-0015507-T01-IM6	0	0	0
P-0015525-T01-IM6	0	0	0
P-0015651-T03-IM6	0	0	0
P-0015810-T01-IM6	0	0	0
P-0016129-T01-IM6	0	0	0
P-0017005-T01-IM6	0	0	0
P-0017175-T01-IM6	0	0	0
P-0017327-T01-IM6	0	0	0
P-0017563-T01-IM5	0	0	0
P-0017787-T01-IM6	0	0	0
P-0018024-T01-IM6	0	0	0
P-0018026-T01-IM6	0	0	0
P-0018212-T01-IM6	0	0	0
P-0018312-T01-IM6	0	0	0
P-0018550-T01-IM6	0	0	0
P-0018606-T01-IM6	0	0	0
P-0018612-T01-IM6	0	0	0
P-0018647-T01-IM6	0	0	0
P-0018757-T01-IM6	0	0	0
P-0019008-T01-IM6	0	0	0
P-0019391-T01-IM6	0	0	0
P-0019423-T01-IM6	0	0	0
P-0019652-T02-IM6	0	0	0
P-0019668-T01-IM6	0	0	0
P-0019841-T01-IM6	0	0	0
P-0019908-T01-IM6	0	0	0
P-0019953-T01-IM6	0	0	0
P-0020007-T01-IM6	0	0	0
P-0020012-T01-IM6	0	0	0
P-0020045-T01-IM6	0	0	0
P-0020115-T01-IM6	0	0	0
P-0020118-T01-IM6	0	0	0
P-0020298-T01-IM6	0	0	0
P-0020313-T01-IM6	0	0	0
P-0020323-T01-IM6	0	0	0
P-0020364-T01-IM6	0	0	0
P-0020432-T01-IM6	0	0	0
P-0020515-T01-IM6	0	0	0
P-0020552-T01-IM6	0	0	0
P-0020799-T01-IM6	0	0	0
P-0020831-T01-IM6	0	0	0
