Sample	Percent	Start	End
P-0000073-T01-IM3	0	0	0
P-0000148-T01-IM3	0	0	0
P-0000269-T01-IM3	0	0	0
P-0000633-T01-IM3	0	0	0
P-0000634-T01-IM3	0	0	0
P-0001036-T01-IM3	0	0	0
P-0001050-T01-IM3	0	0	0
P-0001086-T01-IM3	0	0	0
P-0001272-T01-IM3	0	0	0
P-0001285-T01-IM3	0	0	0
P-0001457-T01-IM3	0	0	0
P-0001478-T01-IM3	0	0	0
P-0001561-T01-IM3	0	0	0
P-0001570-T01-IM3	0	0	0
P-0001616-T01-IM3	0	0	0
P-0001677-T01-IM3	0	0	0
P-0001735-T01-IM3	0	0	0
P-0001752-T01-IM3	0	0	0
P-0001796-T01-IM3	0	0	0
P-0001801-T01-IM3	0	0	0
P-0001907-T01-IM3	0	0	0
P-0001911-T01-IM3	0	0	0
P-0001985-T01-IM3	0	0	0
P-0002010-T02-IM5	0	0	0
P-0002110-T02-IM6	0	0	0
P-0002205-T01-IM3	0	0	0
P-0002242-T02-IM3	0	0	0
P-0002288-T01-IM3	0	0	0
P-0002310-T01-IM3	0	0	0
P-0002385-T01-IM3	0	0	0
P-0002643-T01-IM3	0	0	0
P-0002692-T01-IM3	0	0	0
P-0002747-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002803-T01-IM3	0	0	0
P-0002982-T01-IM3	0	0	0
P-0003050-T01-IM5	0	0	0
P-0003102-T01-IM5	0	0	0
P-0003191-T01-IM5	0	0	0
P-0003194-T01-IM5	0	0	0
P-0003355-T01-IM5	0	0	0
P-0003539-T01-IM5	0	0	0
P-0003631-T01-IM5	0	0	0
P-0003748-T01-IM5	0	0	0
P-0003763-T01-IM5	0	0	0
P-0003813-T01-IM5	0	0	0
P-0004005-T01-IM3	0	0	0
P-0004155-T01-IM5	0	0	0
P-0004167-T01-IM5	0	0	0
P-0004175-T01-IM5	0	0	0
P-0004258-T01-IM5	0	0	0
P-0004308-T02-IM6	0	0	0
